ensemble,model,member,grid,ssp,method
LOCA2,ACCESS-ESM1-5,r5i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-ESM1-5,r5i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-ESM1-5,r1i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-ESM1-5,r1i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-ESM1-5,r1i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-ESM1-5,r1i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-ESM1-5,r4i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-ESM1-5,r4i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-ESM1-5,r4i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-ESM1-5,r4i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-ESM1-5,r3i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-ESM1-5,r3i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-ESM1-5,r3i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-ESM1-5,r3i1p1f1,0,ssp370,LOCA2
